,,Size,Original_Mean,Pix_min,Pix_max,PixelNum Mask,Mean,Median,Minimum,Maximum,Variance,Skewness,Kurtosis,Energy,Entropy,IDM,Contrast,Correlation,Percentage,Type
1,out/LabelMapVolume_1.nrrd,"(512, 512, 1)",174.1023865,0,1285,1099,114.0409463,115,37,160,219.358651,-0.814405575,5.5976505,0.307959614,2.424936384,0.840067601,0.354154997,0.559278004,23.16290847,Grasa
1,out/LabelMapVolume_2.nrrd,"(512, 512, 1)",174.1023865,0,1285,1098,120.7076503,120,81,158,170.157701,0.074498225,2.775905429,0.272841293,2.307922482,0.856137194,0.291179403,0.601057465,21.61815189,Grasa
1,out/LabelMapVolume_3.nrrd,"(512, 512, 1)",174.1023865,0,1285,1096,105.0273723,105,71,143,141.4353821,0.146668827,2.988501925,0.301215515,2.161353916,0.860138371,0.280875995,0.560229884,18.18000036,Grasa
1,out/LabelMapVolume_4.nrrd,"(512, 512, 1)",174.1023865,0,1285,1096,110.6806569,110,78,142,130.3815966,0.11814594,2.652145952,0.353975935,2.09012251,0.8630116,0.273976801,0.536717081,22.90603856,Grasa
1,out/LabelMapVolume_5.nrrd,"(512, 512, 1)",174.1023865,0,1285,1097,113.8568824,113,78,160,211.5137015,0.395898039,3.006044808,0.300917086,2.331390598,0.875840189,0.248895437,0.701315353,24.66398747,Grasa
1,out/LabelMapVolume_6.nrrd,"(512, 512, 1)",174.1023865,0,1285,1099,115.0518653,114,74,176,278.9918505,0.320523945,2.717618064,0.225662347,2.6044857,0.867017148,0.266540418,0.758973938,17.51283369,Grasa
1,out/LabelMapVolume_7.nrrd,"(512, 512, 1)",174.1023865,0,1285,1099,150.9372157,155,97,199,500.9032465,-0.408924334,2.361602489,0.186890409,2.874542318,0.865315555,0.272818267,0.837336751,15.4191754,Grasa
1,out/LabelMapVolume_8.nrrd,"(512, 512, 1)",174.1023865,0,1285,1099,157.2848044,159,29,240,1343.224619,-0.301295755,2.786679255,0.08305752,3.982878725,0.785063114,0.486637318,0.889134259,12.87260762,Grasa
2,out/2LabelMapVolume_1out.nrrd,"(256, 256, 1)",158.2959137,0,1914,247,124.7692308,125,86,157,212.7605107,0.063587331,2.619782871,0.212274957,2.644232401,0.81458926,0.389669275,0.572097984,23.12229379,Grasa
2,out/2LabelMapVolume_2out.nrrd,"(256, 256, 1)",158.2959137,0,1914,248,146.0362903,146,107,177,199.1801346,-0.132634369,2.674043641,0.256485284,2.359950545,0.858041511,0.28663191,0.6397603,19.55541009,Grasa
2,out/2LabelMapVolume_3out.nrrd,"(256, 256, 1)",158.2959137,0,1914,247,107.6842105,106,79,144,138.1755807,0.56757176,3.199625907,0.297990993,2.246543667,0.834572105,0.338905742,0.472534769,19.51586147,Grasa
2,out/2LabelMapVolume_4out.nrrd,"(256, 256, 1)",158.2959137,0,1914,249,110.0441767,111,78,148,124.2028677,-0.127589853,2.985861172,0.365327248,2.010036775,0.843322834,0.313354332,0.389577855,20.56828637,Grasa
